postcode,start_time,status,data_source,extracted_at
"TF8 7BH, TF8 7BQ, TF8 7QG, TF8 7DU, TF8 7PZ, TF8 7NP, TF8 7NY, TF8 7QL, TF8 7QQ, TF8 7NR, TF8 7QS, TF8 7QB, TF8 7DT, TF8 7NX, TF8 7PX, TF8 7QE, TF8 7QU, TF8 7DL, TF8 7BF, TF8 7QW, TF7 5LE, TF8 7QN, TF8 7NF, TF8 7PW, TF8 7QT, TF8 7QA, TF8 7BG, TF8 7PA, TF8 7QR, TF8 7PY, TF8 7QD, TF8 7QJ, TF8 7QP, TF8 7FP, TF8 7QH, TF8 7QX, TF8 7NT, TF8 7AU, TF8 7NE",2025-11-14T22:21:00,In Progress,national_grid,2025-11-18T17:54:10.948175
"DY13 9TD, DY13 9TB, DY13 9TE",2025-11-14T12:32:00,In Progress,national_grid,2025-11-18T17:54:10.948176
"GL50 4TE, GL50 4SX, GL50 4SU, GL50 4RA",2025-11-14T17:53:00,Awaiting,national_grid,2025-11-18T17:54:10.948177
"NP16 7PH, NP16 7PF",2025-11-14T18:38:00,Awaiting,national_grid,2025-11-18T17:54:10.948178
"B5 7EP, B5 7JH, B5 7HY, B5 7JG, B5 7JN, B5 7HE, B5 7EJ, B5 7JJ",2025-11-14T18:59:00,Awaiting,national_grid,2025-11-18T17:54:10.948179
"ST10 2HN, ST10 2HW, ST10 2HP",2025-11-14T16:23:00,In Progress,national_grid,2025-11-18T17:54:10.948180
"BS30 9AA, BS30 6EY, BS30 9DD, BS30 9DB",2025-11-14T16:18:00,In Progress,national_grid,2025-11-18T17:54:10.948181
"DY10 4SA, DY10 4SL, DY10 4SF, DY10 4SH, DY10 4QN, DY10 4SQ, DY10 4SD, DY10 4SB, DY10 4SG, DY10 4QD, DY10 4SJ, DY10 4SP, DY10 4QP, DY10 4QR, DY10 4RD, DY10 4SN, DY10 4II, DY10 4SE, DY10 4QU",2025-11-14T13:10:00,In Progress,national_grid,2025-11-18T17:54:10.948182
"DY3 2HB, DY3 2HD",2025-11-14T16:50:00,In Progress,national_grid,2025-11-18T17:54:10.948183
SY8 3JU,2025-11-14T20:55:00,In Progress,national_grid,2025-11-18T17:54:10.948184
"ST8 7PS, ST8 7PZ, ST8 7PT",2025-11-14T11:17:00,In Progress,national_grid,2025-11-18T17:54:10.948185
"ST13 7LP, ST13 7LR, ST13 8TJ, ST13 8SW, ST13 7LW, ST13 8UB, ST13 7LS, ST13 7NG, ST13 8UR, ST13 8SP, ST13 8TG, ST13 8UW, ST13 8TY, ST13 7NE, ST13 8TR, ST13 8UA, ST13 8TZ, ST13 8TH, ST13 8TQ, ST13 8TP, ST13 8UP, ST13 7LT",2025-11-14T18:05:00,In Progress,national_grid,2025-11-18T17:54:10.948186
"DE6 2BS, DE6 2BR, DE6 2HS, DE6 2AF",2025-11-14T18:09:00,In Progress,national_grid,2025-11-18T17:54:10.948187
"HR4 8TA, HR4 8TD, HR4 8TF, HR4 8SL, HR4 8SN",2025-11-14T18:34:00,In Progress,national_grid,2025-11-18T17:54:10.948188
"B74 4DZ, B74 4DY, B74 4DX, B74 4DU, B74 3UA, B74 4LU",2025-11-14T18:51:00,In Progress,national_grid,2025-11-18T17:54:10.948189
B31 2XU,2025-11-14T19:07:00,In Progress,national_grid,2025-11-18T17:54:10.948190
"DY1 2ND, DY1 2UE, DY1 2UR, DY1 2UT, DY1 2UW, DY1 2NH, DY1 2UQ, DY3 2PL, DY1 2UP",2025-11-14T19:43:00,In Progress,national_grid,2025-11-18T17:54:10.948191
